Estación,Variable,Mes,Valor,nombre_original,provincia,altura,nro,oaci,latitud,longitud,region
tucuman_aero,precipitacion_mm,ene,139.3,TUCUMAN AERO,TUCUMAN,450.0,87121.0,SANT,-26.833333333333332,-65.1,NOA
tucuman_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.8,TUCUMAN AERO,TUCUMAN,450.0,87121.0,SANT,-26.833333333333332,-65.1,NOA
santiago_del_estero_aero,temperatura_c,ene,27.0,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
santiago_del_estero_aero,temperatura_maxima_c,ene,34.2,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
santiago_del_estero_aero,temperatura_minima_c,ene,20.7,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
santiago_del_estero_aero,humedad_relativa_porcentaje,ene,65.2,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
santiago_del_estero_aero,velocidad_viento_kmh,ene,9.2,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
santiago_del_estero_aero,nubosidad_octavos,ene,4.0,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
santiago_del_estero_aero,precipitacion_mm,ene,139.3,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
santiago_del_estero_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.8,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,199.0,87129.0,SANE,-27.75,-64.28333333333333,
presidencia_roque_saenz_pena_aero,temperatura_c,ene,27.1,,,,,,,,
presidencia_roque_saenz_pena_aero,temperatura_maxima_c,ene,33.8,,,,,,,,
presidencia_roque_saenz_pena_aero,temperatura_minima_c,ene,,,,,,,,,
presidencia_roque_saenz_pena_aero,humedad_relativa_porcentaje,ene,71.1,,,,,,,,
presidencia_roque_saenz_pena_aero,velocidad_viento_kmh,ene,,,,,,,,,
presidencia_roque_saenz_pena_aero,nubosidad_octavos,ene,3.6,,,,,,,,
presidencia_roque_saenz_pena_aero,precipitacion_mm,ene,164.3,,,,,,,,
presidencia_roque_saenz_pena_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.6,,,,,,,,
resistencia_aero,temperatura_c,ene,26.9,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
resistencia_aero,temperatura_maxima_c,ene,33.4,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
resistencia_aero,temperatura_minima_c,ene,21.2,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
resistencia_aero,humedad_relativa_porcentaje,ene,71.5,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
resistencia_aero,velocidad_viento_kmh,ene,,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
resistencia_aero,nubosidad_octavos,ene,3.7,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
resistencia_aero,precipitacion_mm,ene,179.9,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
resistencia_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.3,RESISTENCIA AERO,CHACO,52.0,87155.0,SARE,-27.433333333333334,-59.03333333333333,NEA
formosa_aero,temperatura_c,ene,27.7,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
formosa_aero,temperatura_maxima_c,ene,34.1,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
formosa_aero,temperatura_minima_c,ene,22.5,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
formosa_aero,humedad_relativa_porcentaje,ene,71.5,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
formosa_aero,velocidad_viento_kmh,ene,12.4,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
formosa_aero,nubosidad_octavos,ene,4.0,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
formosa_aero,precipitacion_mm,ene,163.5,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
formosa_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.6,FORMOSA AERO,FORMOSA,60.0,87162.0,SARF,-26.2,-58.21666666666667,NEA
bernardo_de_irigoyen_aero,temperatura_c,ene,22.9,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
bernardo_de_irigoyen_aero,temperatura_maxima_c,ene,28.1,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
bernardo_de_irigoyen_aero,temperatura_minima_c,ene,19.0,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
bernardo_de_irigoyen_aero,humedad_relativa_porcentaje,ene,77.6,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
bernardo_de_irigoyen_aero,velocidad_viento_kmh,ene,,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
bernardo_de_irigoyen_aero,nubosidad_octavos,ene,5.3,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
bernardo_de_irigoyen_aero,precipitacion_mm,ene,207.1,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
bernardo_de_irigoyen_aero,frecuencia_dias_precipitacion_gt_1mm,ene,11.9,BERNARDO DE IRIGOYEN AERO,MISIONES,815.0,87163.0,SATI,-26.266666666666666,-53.666666666666664,NEA
corrientes_aero,temperatura_c,ene,26.9,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
corrientes_aero,temperatura_maxima_c,ene,33.0,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
corrientes_aero,temperatura_minima_c,ene,21.6,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
corrientes_aero,humedad_relativa_porcentaje,ene,71.6,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
corrientes_aero,velocidad_viento_kmh,ene,11.6,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
corrientes_aero,nubosidad_octavos,ene,3.5,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
corrientes_aero,precipitacion_mm,ene,179.5,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
corrientes_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.6,CORRIENTES AERO,CORRIENTES,62.0,87166.0,SARC,-27.433333333333334,-58.75,NEA
posadas_aero,temperatura_c,ene,27.2,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
posadas_aero,temperatura_maxima_c,ene,33.0,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
posadas_aero,temperatura_minima_c,ene,22.1,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
posadas_aero,humedad_relativa_porcentaje,ene,68.1,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
posadas_aero,velocidad_viento_kmh,ene,9.8,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
posadas_aero,nubosidad_octavos,ene,3.4,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
posadas_aero,precipitacion_mm,ene,168.7,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
posadas_aero,frecuencia_dias_precipitacion_gt_1mm,ene,8.1,POSADAS AERO,MISIONES,125.0,87178.0,SARP,-27.383333333333333,-55.96666666666667,NEA
obera,temperatura_c,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
obera,temperatura_maxima_c,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
obera,temperatura_minima_c,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
obera,humedad_relativa_porcentaje,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
obera,velocidad_viento_kmh,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
obera,nubosidad_octavos,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
obera,precipitacion_mm,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
obera,frecuencia_dias_precipitacion_gt_1mm,ene,,OBERA,MISIONES,303.0,87187.0,SATO,-27.483333333333334,-55.11666666666667,NEA
tinogasta,temperatura_c,ene,25.9,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
tinogasta,temperatura_maxima_c,ene,33.8,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
tinogasta,temperatura_minima_c,ene,18.9,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
tinogasta,humedad_relativa_porcentaje,ene,55.5,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
tinogasta,velocidad_viento_kmh,ene,,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
tinogasta,nubosidad_octavos,ene,4.3,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
tinogasta,precipitacion_mm,ene,37.4,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
tinogasta,frecuencia_dias_precipitacion_gt_1mm,ene,4.8,TINOGASTA,CATAMARCA,1201.0,87211.0,SANI,-28.066666666666666,-67.55,NOA
chilecito_aero,temperatura_c,ene,25.7,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
chilecito_aero,temperatura_maxima_c,ene,33.7,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
chilecito_aero,temperatura_minima_c,ene,19.1,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
chilecito_aero,humedad_relativa_porcentaje,ene,59.3,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
chilecito_aero,velocidad_viento_kmh,ene,,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
chilecito_aero,nubosidad_octavos,ene,3.6,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
chilecito_aero,precipitacion_mm,ene,,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
chilecito_aero,frecuencia_dias_precipitacion_gt_1mm,ene,,CHILECITO AERO,LA RIOJA,947.0,87213.0,SANO,-29.216666666666665,-67.43333333333334,
la_rioja_aero,temperatura_c,ene,27.6,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
la_rioja_aero,temperatura_maxima_c,ene,35.2,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
la_rioja_aero,temperatura_minima_c,ene,21.5,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
la_rioja_aero,humedad_relativa_porcentaje,ene,59.9,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
la_rioja_aero,velocidad_viento_kmh,ene,,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
la_rioja_aero,nubosidad_octavos,ene,3.9,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
la_rioja_aero,precipitacion_mm,ene,90.3,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
la_rioja_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.1,LA RIOJA AERO,LA RIOJA,429.0,87217.0,SANL,-29.366666666666667,-66.78333333333333,
catamarca_aero,temperatura_c,ene,27.8,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
catamarca_aero,temperatura_maxima_c,ene,34.5,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
catamarca_aero,temperatura_minima_c,ene,21.9,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
catamarca_aero,humedad_relativa_porcentaje,ene,55.0,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
catamarca_aero,velocidad_viento_kmh,ene,22.0,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
catamarca_aero,nubosidad_octavos,ene,3.5,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
catamarca_aero,precipitacion_mm,ene,80.9,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
catamarca_aero,frecuencia_dias_precipitacion_gt_1mm,ene,7.0,CATAMARCA AERO,CATAMARCA,464.0,87222.0,SANC,-28.583333333333332,-65.75,NOA
villa_de_maria_del_rio_seco,temperatura_c,ene,24.5,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
villa_de_maria_del_rio_seco,temperatura_maxima_c,ene,31.8,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
villa_de_maria_del_rio_seco,temperatura_minima_c,ene,,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
villa_de_maria_del_rio_seco,humedad_relativa_porcentaje,ene,73.1,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
villa_de_maria_del_rio_seco,velocidad_viento_kmh,ene,6.4,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
villa_de_maria_del_rio_seco,nubosidad_octavos,ene,3.8,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
villa_de_maria_del_rio_seco,precipitacion_mm,ene,114.3,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
villa_de_maria_del_rio_seco,frecuencia_dias_precipitacion_gt_1mm,ene,7.8,VILLA DE MARIA DEL RIO SECO,CORDOBA,341.0,87244.0,SACV,-29.9,-63.71666666666667,Pampeana
ceres_aero,temperatura_c,ene,25.5,CERES AERO,SANTA FE,88.0,87257.0,SANW,-29.866666666666667,-61.93333333333333,
ceres_aero,temperatura_maxima_c,ene,32.3,CERES AERO,SANTA FE,88.0,87257.0,SANW,-29.866666666666667,-61.93333333333333,
ceres_aero,temperatura_minima_c,ene,19.4,CERES AERO,SANTA FE,88.0,87257.0,SANW,-29.866666666666667,-61.93333333333333,
ceres_aero,humedad_relativa_porcentaje,ene,70.8,CERES AERO,SANTA FE,88.0,87257.0,SANW,-29.866666666666667,-61.93333333333333,
ceres_aero,velocidad_viento_kmh,ene,,CERES AERO,SANTA FE,88.0,87257.0,SANW,-29.866666666666667,-61.93333333333333,
ceres_aero,nubosidad_octavos,ene,3.2,CERES AERO,SANTA FE,88.0,87257.0,SANW,-29.866666666666667,-61.93333333333333,
