estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
estacion_virtual_48,Neuquén,Patagonia,VIRTUAL,-39.0,-71.0,1039.0,,12.55,0.43054704058827337,17.1,10.695833333333333,4.55,4.605059388292074,128.35,21.731700000000004,0.09847891660277108,88.9762,77.95471666666667,67.2445,7.676896041409316,935.4566,3.0267999999999997,0.320469197610728,4.93,3.5826499999999997,1.9032,1.1481289708200746,42.9918,144.5395,0.5875843661320443,171.4656,80.48989999999999,26.9261,47.294606871531634,965.8788,12.9757,0.776352698188821,12.5485,6.053916666666667,-0.4272,4.6999745387769405,72.647,16.5912,0.5058873207291507,19.8549,11.834816666666667,3.2637,5.987083694820698,142.0178,9.3386,3.0695007647950177,5.7986,1.070975,-3.54,3.287358581576344,12.8517
estacion_virtual_49,Neuquén,Patagonia,VIRTUAL,-39.0,-70.0,602.0,,11.650000000000002,0.44419888317064277,16.1,9.6875,4.45,4.303176680715602,116.25,30.918800000000005,0.1813091398840638,78.4398,62.622475,47.521,11.35402707966129,751.4697,2.6060999999999996,0.28568165919878075,4.5192,3.356491666666667,1.9131,0.9588881084202143,40.2779,87.2686,0.5356212446232862,111.3542,55.185383333333334,24.0856,29.558463706013157,662.2246,16.0729,0.6050214004179275,17.779,9.607325000000001,1.7061,5.812637225770167,115.28790000000001,19.1925,0.41241767407356855,26.3391,16.854658333333333,7.1466,6.951158987138022,202.2559,11.4024,1.2550547849883464,9.1956,3.308075,-2.2068,4.1518153578503245,39.6969
estacion_virtual_5,Santa Cruz,Patagonia,VIRTUAL,-50.0,-69.0,0.0,,2.0,0.11788853624154733,6.2,5.420833333333333,4.2,0.6390541068760545,65.05,39.2268,0.22348361302744332,87.1387,65.43691666666668,47.9119,14.624078562042392,785.243,0.8471000000000002,0.05543038505587773,5.5514,5.030625,4.7043,0.2788494808217249,60.3675,17.365799999999997,0.1812506874247782,37.2895,25.913025,19.9237,4.696753594505464,310.9563,14.733,0.6641267121454484,15.0951,8.149266666666668,0.3621,5.412145677729832,97.7912,17.290799999999997,0.4613222150049467,21.4123,13.709933333333334,4.1215,6.324696812903485,164.5192,10.9798,1.2873147377821814,8.5208,3.1339,-2.459,4.034315656735578,37.6068
estacion_virtual_50,Río Negro,Patagonia,VIRTUAL,-39.0,-67.0,203.0,,1.95,0.22533119563716145,3.9,2.6666666666666665,1.95,0.6008831883657638,32.0,38.853500000000004,0.2964405761156651,68.3828,48.684149999999995,29.5293,14.431957473701456,584.2098,2.5289,0.26397453436566615,4.6802,3.52075,2.1513,0.9293883418679191,42.249,21.486400000000003,0.3798088714137107,33.0384,19.910383333333332,11.552,7.562140223247688,238.9246,19.4905,0.45971299830284507,25.2759,15.361833333333335,5.7854,7.062034461095256,184.342,20.8193,0.33265770384434906,33.1978,22.75368333333333,12.3785,7.5691880516681005,273.0442,15.9815,0.6691015194718547,16.9068,8.620166666666668,0.9253,5.7677666147673,103.44200000000001
estacion_virtual_51,Río Negro,Patagonia,VIRTUAL,-39.0,-66.0,197.0,,1.9500000000000002,0.1881183674179178,4.2,3.0208333333333335,2.25,0.5682742349082933,36.25,39.164,0.2993409465841947,68.7004,48.87790833333333,29.5364,14.631159347555498,586.5349,2.2874,0.24093451194782167,4.6186,3.6013,2.3312,0.8676774578776902,43.2156,18.0826,0.32383593857033105,31.2512,20.1225,13.1686,6.516388673881486,241.47,19.6842,0.4549979286227154,25.6662,15.667016666666667,5.982,7.128460131030892,188.0042,20.9655,0.3298637407156661,33.5637,23.05989166666667,12.5982,7.606622125664684,276.7187,16.212799999999998,0.6551466669788696,17.3222,8.922433333333332,1.1094,5.845502459674498,107.0692
estacion_virtual_52,Río Negro,Patagonia,VIRTUAL,-39.0,-65.0,115.0,,3.9000000000000004,0.23424534202819106,7.2,5.083333333333333,3.3,1.190747155309971,61.0,36.44610000000001,0.2678263114650648,68.888,50.65951666666667,32.4419,13.56795148943631,607.9142,1.9851999999999999,0.2090613604473305,4.5401,3.6995166666666663,2.5549,0.7734259873309066,44.3942,18.644899999999996,0.2649094072086683,35.9479,26.41225,17.303,6.9968534905471484,316.947,19.307000000000002,0.4427429562003987,25.5024,15.720149999999999,6.1954,6.959985682913698,188.6418,20.622600000000006,0.324751470174018,33.3173,22.995216666666668,12.6947,7.467730419470082,275.9426,15.7901,0.6210964679186072,17.2589,9.105324999999999,1.4688,5.655285196750992,109.26389999999999
estacion_virtual_53,La Pampa,Pampeana,VIRTUAL,-39.0,-64.0,67.0,,4.800000000000001,0.2367754720882866,8.4,5.770833333333333,3.6,1.3663917868428204,69.25,35.44259999999999,0.22909628309966457,73.6608,56.826525000000004,38.2182,13.018745658970166,681.9183,1.9377,0.19366725767010512,4.7199,3.8493583333333334,2.7822,0.7454946722062331,46.1923,44.4263,0.3227066089675236,64.3038,42.04490833333333,19.8775,13.568169792600376,504.5389,19.1012,0.4394990377837197,25.3647,15.600833333333334,6.2635,6.8565512386241805,187.21,20.7598,0.32524415218914055,33.5434,23.036416666666668,12.7836,7.492459808225788,276.437,15.3559,0.6086050710247592,16.9923,9.013475,1.6364,5.485646592554891,108.1617
estacion_virtual_54,Neuquén,Patagonia,VIRTUAL,-38.0,-71.0,1388.0,,12.399999999999999,0.4852649048764301,15.95,9.3375,3.55,4.531161049283666,112.05,26.553999999999995,0.13214486223360025,85.3398,72.12499166666667,58.7858,9.530947087391233,865.4999,3.2835,0.37483170429877294,4.9703,3.4418666666666664,1.6868,1.2901207486358033,41.3024,121.0814,0.6009819648923237,141.775,64.9965,20.6936,39.061724281123915,779.958,13.6585,0.7869442527125665,13.2606,6.269925000000001,-0.3979,4.934081443688839,75.23910000000001,17.7664,0.5043655420627401,21.4704,12.805575,3.704,6.458690776300073,153.6669,9.4332,4.234810591930115,5.6953,0.7822916666666666,-3.7379,3.312857035978663,9.3875
estacion_virtual_55,Neuquén,Patagonia,VIRTUAL,-38.0,-70.0,1085.0,,10.25,0.4509929756704821,13.8,8.116666666666667,3.55,3.660559652525413,97.4,30.600300000000004,0.20071360965586013,71.4401,55.88285,40.8398,11.216448541356982,670.5942,2.4726,0.2859581137750315,4.4066,3.316025,1.934,0.9482442542308487,39.7923,59.5633,0.4914411070886184,78.4893,41.2812,18.926,20.287278629946673,495.3744,16.8465,0.538941710407728,19.8917,11.284391666666666,3.0452,6.081629345744045,135.4127,19.6265,0.36574673912272726,28.9769,19.297758333333334,9.3504,7.058092182795103,231.5731,12.257399999999999,1.0081053992472546,10.8684,4.423958333333333,-1.389,4.4598162818782185,53.0875
estacion_virtual_56,Neuquén,Patagonia,VIRTUAL,-38.0,-69.0,411.0,,2.35,0.25920211439078766,3.85,2.466666666666667,1.5,0.6393652154972763,29.6,32.9767,0.24960722729835116,65.8917,49.269625,32.915,12.298054486279524,591.2355,2.4631000000000003,0.28243641528872304,4.49,3.3847583333333335,2.0269,0.9559790102852995,40.6171,21.802699999999994,0.3929634643443474,33.4449,20.20273333333333,11.6422,7.9389360798916915,242.4328,18.338,0.46637470545239124,23.6481,14.280958333333333,5.3101,6.660277736286205,171.3715,19.9662,0.32921686337179373,32.0454,22.046208333333336,12.0792,7.2579835567411015,264.5545,14.6332,0.7228573875826803,14.977,7.3419083333333335,0.3438,5.307152677704844,88.1029
estacion_virtual_57,La Pampa,Pampeana,VIRTUAL,-38.0,-67.0,342.0,,2.85,0.2051290376273483,4.75,3.5,1.9,0.7179516316957191,42.0,36.43339999999999,0.27529593766347615,67.3577,48.980491666666666,30.9243,13.48413038059308,587.7659,2.4747,0.2693197821186523,4.6776,3.5109583333333334,2.2029,0.945570533361,42.1315,25.7228,0.3212111996751919,36.0176,22.520733333333336,10.2948,7.233911771565084,270.2488,19.356700000000004,0.44417405225837236,25.6243,15.799141666666666,6.2676,7.017568776287428,189.5897,20.594700000000003,0.3220070274117527,33.4611,23.177691666666664,12.8664,7.463379595849485,278.1323,15.965200000000001,0.6353364454834118,17.3836,9.093058333333333,1.4184,5.777151360073317,109.11670000000001
estacion_virtual_58,La Pampa,Pampeana,VIRTUAL,-38.0,-66.0,213.0,,3.75,0.2489204590562552,6.45,4.825,2.7,1.2010412149464313,57.9,35.367999999999995,0.2602963218135888,67.7271,50.15164166666667,32.3591,13.054287858746456,601.8197,2.1428999999999996,0.2275781277232417,4.6133,3.631525,2.4704,0.8264556602801453,43.5783,30.722099999999998,0.3224845316074005,43.4803,27.769724999999998,12.7582,8.955306759491318,333.2367,19.2637,0.4376551819492263,25.6612,15.893508333333335,6.3975,6.955876281436545,190.7221,20.476000000000003,0.3170394962111815,33.5478,23.314125,13.0718,7.391498444604512,279.7695,15.969000000000001,0.6242282895600936,17.4633,9.190891666666667,1.4943,5.737214584615452,110.2907
estacion_virtual_59,La Pampa,Pampeana,VIRTUAL,-38.0,-65.0,170.0,,5.4,0.34351090738030654,8.4,5.9624999999999995,3.0,2.0481837852550777,71.55,32.98609999999999,0.22583297484286974,70.0666,53.881708333333336,37.0805,12.168266482532513,646.5805,1.9072,0.19972055694172797,4.6773,3.742108333333333,2.7701,0.7473759604696146,44.9053,53.2667,0.45594335860064306,67.2482,45.502916666666664,13.9815,20.746752651125178,546.035,18.6558,0.4342397132812237,24.9169,15.434133333333333,6.2611,6.7021136334108435,185.2096,20.003999999999998,0.31843885160658414,32.686,22.639725,12.682,7.209368029688872,271.6767,15.238,0.6066760598428536,16.8719,8.968766666666665,1.6339,5.441136022983256,107.62519999999999
estacion_virtual_6,Santa Cruz,Patagonia,VIRTUAL,-49.0,-72.0,717.0,,5.3,0.1956449152709665,10.85,8.158333333333333,5.55,1.5961364337523016,97.9,24.191000000000003,0.11971119982407046,89.441,76.8171,65.25,9.195867208005602,921.8052,0.5327000000000002,0.03438736626687342,5.1866,4.922475,4.6539,0.16927095076452775,59.069700000000005,22.560699999999997,0.1924759127877173,45.5284,33.20421666666667,22.9677,6.391011911317803,398.4506,11.9296,1.4618675383853108,8.6424,2.946075,-3.2872,4.306771408148505,35.3529,14.4231,0.7093532492401008,14.3752,7.386525,-0.0479,5.239655509343235,88.6383,9.4055,-2.988317157567425,3.1444,-1.1078333333333334,-6.2611,3.310557357725113,-13.294
estacion_virtual_60,La Pampa,Pampeana,VIRTUAL,-38.0,-64.0,80.0,,6.05,0.3224563389733351,9.5,6.633333333333333,3.45,2.1389603818564558,79.6,32.088,0.20074712036181483,73.3528,58.448125000000005,41.2648,11.733292784297399,701.3775,1.7377999999999996,0.18427334944517393,4.7482,3.8596916666666665,3.0104,0.7112383112422924,46.3163,66.50540000000001,0.4321574850879318,83.5284,53.086441666666666,17.023,22.94170312293386,637.0373,18.580199999999998,0.42783044308369644,25.0855,15.564391666666666,6.5053,6.658920583078192,186.7727,20.143500000000003,0.31796497696041065,32.9581,22.722341666666665,12.8146,7.224908844528245,272.6681,15.1314,0.5879016609134017,17.0976,9.202808333333333,1.9662,5.410346304234361,110.4337
