estacion,provincia,region,oaci,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,latitud,longitud,altura,nro
base_esperanza,ANTARTIDA,Antártida,SAYE,9.0000,7.8600,83.9200,5.5000,34.6600,-6.9000,-2.6000,-10.9000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,10.0000,6.7600,82.6600,5.8000,28.8000,-4.1000,-0.2000,-7.8000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,11.0000,6.5600,82.6600,6.0000,31.8400,-0.9000,2.3000,-3.9000,-63.3833,-56.9833,24.0000,88963.0000
base_esperanza,ANTARTIDA,Antártida,SAYE,12.0000,5.6000,79.4000,6.0000,28.5800,0.8000,3.8000,-1.8000,-63.3833,-56.9833,24.0000,88963.0000
base_marambio,ANTARTIDA,Antártida,SAWB,1.0000,7.9200,90.2000,6.6000,36.8000,-0.8000,1.7000,-3.0000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,2.0000,8.6200,84.4000,6.4000,41.7400,-1.8000,1.0000,-4.2000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,3.0000,8.0600,84.4000,6.1000,37.3400,-5.5000,-2.1000,-8.6000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,4.0000,7.9400,85.0000,5.7000,35.6200,-10.0000,-6.1000,-13.7000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,5.0000,7.3800,85.0000,5.0000,33.6600,-11.9000,-7.4000,-16.1000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,6.0000,7.3800,83.5200,5.1000,33.6600,-14.9000,-10.7000,-18.7000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,7.0000,7.3800,85.0200,4.8000,33.6600,-14.9000,-10.3000,-19.3000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,8.0000,7.3000,85.0200,5.0000,32.7000,-13.8000,-9.3000,-18.1000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,9.0000,7.3000,83.9200,5.3000,32.7000,-10.6000,-6.1000,-14.8000,-64.2333,-56.6167,198.0000,89055.0000
base_marambio,ANTARTIDA,Antártida,SAWB,10.0000,7.8600,82.6600,5.7000,34.6600,-7.3000,-3.6000,-11.0000,-64.2333,-56.6167,198.0000,89055.0000
