estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,-26.2667,-53.6667,815.0000,87163.0000,5.5000,0.1866,12.0000,9.4333,6.5000,1.7603,113.2000,12.4000,0.0505,79.8000,75.4583,67.4000,3.8097,905.5000,1.3000,0.0797,5.3000,4.7417,4.0000,0.3777,56.9000,171.5000,0.2195,277.9000,187.4667,106.4000,41.1551,2249.6000,8.0000,0.1535,22.9000,19.2750,14.9000,2.9588,231.3000,8.8000,0.1325,28.1000,24.2250,19.3000,3.2105,290.7000,7.8000,0.1819,19.0000,15.3833,11.2000,2.7983,184.6000,1405.9130,1316.8187,-23.0859,23.4498,13.6191,10.3519,3.1808,49.7165
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,-36.1833,-61.0667,94.0000,87640.0000,4.5000,0.2720,8.0000,5.8333,3.5000,1.5865,70.0000,15.8000,0.0688,81.8000,74.7833,66.0000,5.1437,897.4000,0.9000,0.0977,4.2000,3.7417,3.3000,0.3655,44.9000,97.6000,0.4086,133.0000,84.8417,35.4000,34.6628,1018.1000,15.0000,0.3556,22.3000,14.9917,7.3000,5.3304,179.9000,15.8000,0.2564,29.6000,21.9333,13.8000,5.6229,263.2000,13.0000,0.5249,15.0000,8.7583,2.0000,4.5971,105.1000,1405.9130,1316.8187,-23.0859,23.4498,14.4222,9.5335,13.0974,59.6331
buenos_aires_observatorio,CAPITAL FEDERAL,Pampeana,SABA,-34.5833,-58.4833,25.0000,87585.0000,3.0000,0.1640,7.9000,6.3750,4.9000,1.0454,76.5000,15.9000,0.0758,78.7000,71.2333,62.8000,5.3962,854.8000,1.1000,0.1152,4.3000,3.7083,3.2000,0.4274,44.5000,72.9000,0.2553,134.4000,104.8000,61.5000,26.7578,1257.6000,13.9000,0.2724,24.9000,18.0833,11.0000,4.9252,217.0000,14.6000,0.2258,30.1000,22.9750,15.5000,5.1881,275.7000,12.7000,0.3275,20.2000,13.8250,7.5000,4.5281,165.9000,1405.9130,1316.8187,-23.0859,23.4498,14.2786,9.6799,11.4974,58.0331
catamarca_aero,CATAMARCA,NOA,SANC,-28.5833,-65.7500,464.0000,87222.0000,6.4000,0.6424,7.0000,3.5167,0.6000,2.2591,42.2000,26.0000,0.1679,66.5000,54.7167,40.5000,9.1856,656.6000,1.1000,0.1261,3.5000,3.1000,2.4000,0.3908,37.2000,78.0000,0.8654,80.9000,34.2583,2.9000,29.6474,411.1000,16.1000,0.2792,27.8000,21.0417,11.7000,5.8754,252.5000,14.4000,0.1859,34.6000,28.3750,20.2000,5.2754,340.5000,17.4000,0.4352,21.9000,14.5833,4.5000,6.3468,175.0000,1405.9130,1316.8187,-23.0859,23.4498,13.7905,10.1773,5.4974,52.0331
ceres_aero,SANTA FE,Pampeana,SANW,-29.8667,-61.9333,88.0000,87257.0000,6.1000,0.4819,7.4000,4.8250,1.3000,2.3250,57.9000,14.6000,0.0720,80.8000,73.2000,66.2000,5.2738,878.4000,1.1000,0.1099,4.1000,3.4333,3.0000,0.3774,41.2000,138.9000,0.6841,147.3000,78.6000,8.4000,53.7697,943.2000,13.9000,0.2566,25.5000,19.0750,11.6000,4.8938,228.9000,13.2000,0.1796,32.3000,26.1000,19.1000,4.6889,313.2000,13.3000,0.3542,19.4000,13.2500,6.1000,4.6932,159.0000,1405.9130,1316.8187,-23.0859,23.4498,13.8891,10.0768,6.7808,53.3165
chamical_aero,LA RIOJA,NOA,SACT,-30.3333,-66.2833,461.0000,87320.0000,5.4000,0.6835,5.8000,3.0417,0.4000,2.0791,36.5000,23.8000,0.1498,70.3000,58.7167,46.5000,8.7983,704.6000,1.7000,0.1714,3.9000,3.2250,2.2000,0.5529,38.7000,90.7000,0.9321,93.4000,38.3417,2.7000,35.7392,460.1000,16.0000,0.2895,27.0000,19.8750,11.0000,5.7536,238.5000,15.2000,0.2088,33.8000,26.8750,18.6000,5.6125,322.5000,15.6000,0.4043,20.6000,13.7417,5.0000,5.5551,164.9000,1405.9130,1316.8187,-23.0859,23.4498,13.9257,10.0396,7.2474,53.7831
chilecito_aero,LA RIOJA,NOA,SANO,-29.2167,-67.4333,947.0000,87213.0000,4.5600,0.8585,4.8600,2.0217,0.3000,1.7356,24.2600,17.5000,0.0989,68.5000,59.4233,51.0000,5.8783,713.0800,1.7000,0.2113,3.6000,2.8167,1.9000,0.5952,33.8000,51.7400,1.0652,52.9400,17.1817,1.2000,18.3015,206.1800,16.2000,0.3176,25.7000,18.5917,9.5000,5.9046,223.1000,15.7000,0.2194,33.7000,26.5917,18.0000,5.8330,319.1000,17.6000,0.5755,19.1000,11.2167,1.5000,6.4553,134.6000,1405.9130,1316.8187,-23.0859,23.4498,13.8388,10.1281,6.1308,52.6665
comodoro_rivadavia_aero,CHUBUT,Patagonia,SAVC,-45.7833,-67.4500,46.0000,87860.0000,2.6000,0.2660,4.2000,2.8917,1.6000,0.7692,34.7000,20.0000,0.1441,59.0000,49.3333,39.0000,7.1069,592.0000,0.4000,0.0362,4.5000,4.3833,4.1000,0.1586,52.6000,26.5000,0.4180,37.2000,21.5083,10.7000,8.9903,258.1000,13.1000,0.3548,19.8000,13.1750,6.7000,4.6751,158.1000,15.3000,0.2952,26.3000,18.6917,11.0000,5.5173,224.3000,10.8000,0.4825,13.5000,8.0083,2.7000,3.8644,96.1000,1405.9130,1316.8187,-23.0859,23.4498,15.4640,8.4701,22.6974,69.2331
concordia_aero,ENTRE RIOS,NEA,SAAC,-31.3000,-58.0000,37.0000,87395.0000,3.8000,0.1834,8.1000,6.4167,4.3000,1.1769,77.0000,17.0000,0.0803,81.6000,73.0000,64.6000,5.8628,876.0000,1.1000,0.1152,4.0000,3.3417,2.9000,0.3848,40.1000,117.9000,0.3101,173.2000,122.3333,55.3000,37.9350,1468.0000,13.5000,0.2513,25.6000,18.9500,12.1000,4.7628,227.4000,14.1000,0.1997,31.9000,24.8833,17.8000,4.9684,298.6000,12.1000,0.3177,19.5000,13.5500,7.4000,4.3049,162.6000,1405.9130,1316.8187,-23.0859,23.4498,14.0027,9.9611,8.2141,54.7498
cordoba_aero,CORDOBA,Pampeana,SACO,-31.2833,-64.2000,495.0000,87344.0000,7.9000,0.6190,8.6000,5.0083,0.7000,3.1000,60.1000,20.1000,0.1093,75.1000,65.9833,55.0000,7.2149,791.8000,1.3000,0.0915,4.3000,3.7000,3.0000,0.3384,44.4000,140.5000,0.7694,146.5000,71.3583,6.0000,54.9036,856.3000,13.7000,0.2809,23.5000,17.2583,9.8000,4.8485,207.1000,12.2000,0.1770,29.9000,24.3917,17.7000,4.3175,292.7000,13.8000,0.4445,17.5000,11.1500,3.7000,4.9563,133.8000,1405.9130,1316.8187,-23.0859,23.4498,14.0014,9.9625,8.1974,54.7331
