estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados
estacion_virtual_10,Santa Cruz,Patagonia,VIRTUAL,-48.0000,-69.0000,248.0000,,2.2500,0.1696,5.6500,4.5292,3.4000,0.7683,54.3500,38.9522,0.2343,82.0857,61.2709,43.1335,14.3573,735.2502,0.5475,0.0420,4.8837,4.5927,4.3362,0.1929,55.1124,12.4890,0.1877,25.7204,19.8021,13.2314,3.7169,237.6252,15.2256,0.7143,15.2265,7.8130,0.0009,5.5808,93.7558,18.1162,0.4796,22.3653,13.8277,4.2491,6.6321,165.9322,10.8294,1.5969,7.8731,2.4677,-2.9563,3.9406,29.6127,1405.9130,1316.8187,-23.0859,23.4498,15.7673,8.1600,24.9141,71.4498
estacion_virtual_100,Salta,NOA,VIRTUAL,-26.0000,-66.0000,3261.0000,,15.7000,0.7488,16.4500,8.0667,0.7500,6.0401,96.8000,36.6984,0.2497,74.8003,54.6709,38.1019,13.6539,656.0507,2.8493,0.2537,5.0594,3.8134,2.2101,0.9675,45.7607,190.7320,0.9795,193.6617,72.6962,2.9297,71.2071,872.3541,8.4207,0.4312,11.1650,7.5052,2.7443,3.2359,90.0627,7.2474,0.1617,19.1981,16.1162,11.9507,2.6053,193.3943,8.6547,4.2763,5.3493,0.7746,-3.3054,3.3123,9.2950,1405.9130,1316.8187,-23.0859,23.4498,13.5999,10.3715,2.9141,49.4498
estacion_virtual_101,Santiago del Estero,NOA,VIRTUAL,-26.0000,-64.0000,184.0000,,14.2000,0.7139,15.0500,8.1042,0.8500,5.7853,97.2500,31.4688,0.1938,71.2115,58.3415,39.7427,11.3088,700.0974,2.1592,0.1577,5.1653,4.4000,3.0061,0.6938,52.8001,166.3444,0.9011,169.5384,71.8894,3.1940,64.7802,862.6731,12.4444,0.2075,28.0530,22.9660,15.6086,4.7648,275.5920,11.7588,0.1437,35.5493,30.4770,23.7905,4.3781,365.7237,12.9901,0.2941,21.7978,16.3011,8.8077,4.7948,195.6126,1405.9130,1316.8187,-23.0859,23.4498,13.5999,10.3715,2.9141,49.4498
estacion_virtual_102,Santiago del Estero,NOA,VIRTUAL,-26.0000,-63.0000,172.0000,,14.0000,0.6198,15.5500,8.7583,1.5500,5.4286,105.1000,28.4472,0.1724,69.3585,57.6052,40.9113,9.9330,691.2624,2.0233,0.1527,5.3286,4.5493,3.3053,0.6947,54.5915,148.5834,0.8339,153.6077,68.5085,5.0243,57.1279,822.1019,12.2813,0.2005,28.4415,23.2932,16.1602,4.6697,279.5186,11.1633,0.1403,35.4537,30.8813,24.2904,4.3341,370.5752,12.8171,0.2848,22.0359,16.5633,9.2188,4.7177,198.7598,1405.9130,1316.8187,-23.0859,23.4498,13.5999,10.3715,2.9141,49.4498
estacion_virtual_103,Santiago del Estero,NOA,VIRTUAL,-26.0000,-62.0000,151.0000,,10.8000,0.5156,13.0000,7.9583,2.2000,4.1034,95.5000,24.0808,0.1375,69.1319,58.0324,45.0511,7.9821,696.3884,1.8355,0.1224,5.0283,4.3180,3.1928,0.5283,51.8155,114.9635,0.6474,127.5829,73.2261,12.6194,47.4084,878.7135,12.5694,0.1996,29.1550,23.5721,16.5856,4.7060,282.8654,11.5114,0.1435,35.7262,30.8080,24.2148,4.4212,369.6956,12.8829,0.2742,22.9129,17.1332,10.0300,4.6979,205.5978,1405.9130,1316.8187,-23.0859,23.4498,13.5999,10.3715,2.9141,49.4498
estacion_virtual_104,Salta,NOA,VIRTUAL,-25.0000,-68.0000,3963.0000,,10.7000,0.9920,11.0500,4.3500,0.3500,4.3153,52.2000,20.7127,0.2399,41.6675,29.5858,20.9548,7.0980,355.0297,1.1594,0.1828,3.0896,2.3937,1.9302,0.4376,28.7242,48.2688,1.0715,49.4137,17.1914,1.1449,18.4204,206.2964,10.8108,1.1146,8.9098,3.5289,-1.9010,3.9331,42.3466,12.3110,0.3570,18.6921,13.1915,6.3811,4.7090,158.2977,7.4905,-0.6100,-0.0210,-4.0313,-7.5115,2.4591,-48.3762,1405.9130,1316.8187,-23.0859,23.4498,13.5286,10.4440,1.9141,48.4498
estacion_virtual_105,Salta,NOA,VIRTUAL,-25.0000,-67.0000,4801.0000,,16.1000,0.8963,16.6500,7.2125,0.5500,6.4649,86.5500,30.0077,0.2467,58.9715,42.2435,28.9638,10.4209,506.9226,2.1618,0.3444,3.5629,2.0524,1.4011,0.7068,24.6289,168.9814,1.0764,171.1035,59.7686,2.1221,64.3333,717.2231,10.5860,1.2414,8.1930,3.1677,-2.3930,3.9322,38.0120,11.5865,0.3634,17.2483,11.9716,5.6618,4.3507,143.6597,8.5777,-0.7244,0.3312,-3.9457,-8.2465,2.8582,-47.3484,1405.9130,1316.8187,-23.0859,23.4498,13.5286,10.4440,1.9141,48.4498
estacion_virtual_106,Salta,NOA,VIRTUAL,-25.0000,-64.0000,297.0000,,15.5500,0.7987,16.3500,8.1417,0.8000,6.5029,97.7000,32.2114,0.2037,71.0272,57.7594,38.8158,11.7642,693.1124,2.1993,0.1454,5.4765,4.6191,3.2772,0.6715,55.4289,186.6348,0.9992,189.7121,66.1604,3.0773,66.1091,793.9252,12.0084,0.1980,28.2497,23.3042,16.2413,4.6146,279.6509,11.6180,0.1385,35.9219,30.7119,24.3039,4.2538,368.5427,12.4757,0.2784,21.9465,16.7720,9.4708,4.6690,201.2638,1405.9130,1316.8187,-23.0859,23.4498,13.5286,10.4440,1.9141,48.4498
estacion_virtual_107,Salta,NOA,VIRTUAL,-25.0000,-63.0000,225.0000,,14.7500,0.6840,16.1000,8.8250,1.3500,6.0366,105.9000,28.8031,0.1806,68.3705,56.7342,39.5674,10.2464,680.8100,1.9455,0.1318,5.2417,4.5044,3.2962,0.5936,54.0533,174.7525,0.8960,180.7202,65.3764,5.9677,58.5755,784.5172,11.8977,0.1909,28.8857,23.9240,16.9880,4.5665,287.0884,11.0857,0.1349,36.1731,31.4883,25.0874,4.2468,377.8595,12.4181,0.2692,22.4112,17.1960,9.9931,4.6296,206.3525,1405.9130,1316.8187,-23.0859,23.4498,13.5286,10.4440,1.9141,48.4498
estacion_virtual_108,Chaco,NEA,VIRTUAL,-25.0000,-62.0000,170.0000,,9.9500,0.5422,11.7000,7.3125,1.7500,3.9646,87.7500,25.3530,0.1488,67.8472,56.5349,42.4942,8.4112,678.4192,1.6857,0.1176,5.2230,4.4657,3.5373,0.5251,53.5880,125.4048,0.6725,136.2630,70.3755,10.8582,47.3240,844.5054,12.0745,0.1860,29.7326,24.4627,17.6581,4.5491,293.5529,11.1304,0.1351,36.4553,31.7521,25.3249,4.2889,381.0257,12.4853,0.2548,23.4476,17.9623,10.9623,4.5773,215.5479,1405.9130,1316.8187,-23.0859,23.4498,13.5286,10.4440,1.9141,48.4498
estacion_virtual_109,Formosa,NEA,VIRTUAL,-25.0000,-59.0000,79.0000,,8.6000,0.3021,13.1000,9.4083,4.5000,2.8423,112.9000,18.4816,0.0855,80.0489,69.6326,61.5673,5.9538,835.5914,1.1356,0.0777,5.1739,4.5462,4.0383,0.3533,54.5541,143.8734,0.4597,171.4864,111.3076,27.6130,51.1675,1335.6908,12.1298,0.1920,28.6725,23.2888,16.5427,4.4722,279.4661,11.2962,0.1425,34.8290,30.0228,23.5328,4.2777,360.2733,12.0809,0.2545,22.9180,17.4013,10.8371,4.4291,208.8154,1405.9130,1316.8187,-23.0859,23.4498,13.5286,10.4440,1.9141,48.4498
estacion_virtual_11,Santa Cruz,Patagonia,VIRTUAL,-48.0000,-68.0000,246.0000,,1.9000,0.1458,5.5500,4.5958,3.6500,0.6700,55.1500,41.3013,0.2590,80.3153,57.9085,39.0140,14.9982,694.9018,0.5485,0.0387,4.7752,4.4765,4.2267,0.1731,53.7178,13.4699,0.1979,28.0536,20.4080,14.5837,4.0391,244.8965,16.3777,0.6158,17.5695,9.6719,1.1918,5.9563,116.0631,18.6765,0.4234,24.7426,16.0026,6.0661,6.7748,192.0311,12.3122,1.1161,10.1380,3.9961,-2.1742,4.4600,47.9536,1405.9130,1316.8187,-23.0859,23.4498,15.7673,8.1600,24.9141,71.4498
estacion_virtual_110,Salta,NOA,VIRTUAL,-24.0000,-67.0000,3965.0000,,15.3000,0.9042,15.8000,6.6833,0.5000,6.0430,80.2000,32.2887,0.3040,58.1099,38.2664,25.8212,11.6330,459.1971,2.0921,0.3407,3.4939,2.0329,1.4018,0.6927,24.3945,138.5892,1.0726,140.5103,51.3717,1.9211,55.0991,616.4606,9.2829,0.9788,8.0247,3.5258,-1.2582,3.4510,42.3097,10.9382,0.3083,18.2246,13.1267,7.2864,4.0464,157.5207,6.6912,-0.5552,-0.3548,-3.9556,-7.0460,2.1961,-47.4667,1405.9130,1316.8187,-23.0859,23.4498,13.4586,10.5153,0.9141,47.4498
estacion_virtual_111,Salta,NOA,VIRTUAL,-24.0000,-63.0000,245.0000,,13.7000,0.7024,14.8000,8.1125,1.1000,5.6986,97.3500,30.5819,0.1942,69.2017,57.1283,38.6198,11.0961,685.5400,1.9396,0.1270,5.3139,4.6271,3.3743,0.5874,55.5256,197.2327,0.9556,201.3696,68.6120,4.1369,65.5661,823.3436,11.3696,0.1790,29.1924,24.5506,17.8228,4.3947,294.6071,10.8938,0.1280,36.8559,32.1293,25.9621,4.1118,385.5515,11.9210,0.2511,22.6912,17.8666,10.7702,4.4860,214.3987,1405.9130,1316.8187,-23.0859,23.4498,13.4586,10.5153,0.9141,47.4498
estacion_virtual_112,Formosa,NEA,VIRTUAL,-24.0000,-62.0000,176.0000,,12.0500,0.6042,13.5000,7.7500,1.4500,4.6825,93.0000,25.2083,0.1579,65.2072,54.8844,39.9989,8.6663,658.6128,1.8587,0.1108,5.2859,4.4428,3.4272,0.4923,53.3138,152.7053,0.7699,160.0121,66.6251,7.3068,51.2929,799.5013,11.0551,0.1669,29.9962,25.2697,18.9411,4.2180,303.2359,10.1173,0.1211,36.5987,32.4269,26.4814,3.9268,389.1228,11.5913,0.2284,23.7861,18.8255,12.1948,4.2995,225.9058,1405.9130,1316.8187,-23.0859,23.4498,13.4586,10.5153,0.9141,47.4498
estacion_virtual_113,Formosa,NEA,VIRTUAL,-23.0000,-62.0000,188.0000,,11.9000,0.6211,12.9500,7.5125,1.0500,4.6661,90.1500,24.7204,0.1674,63.1464,53.6490,38.4260,8.9803,643.7880,1.8439,0.1151,5.3877,4.6594,3.5438,0.5361,55.9125,146.5807,0.8175,151.0858,60.2663,4.5051,49.2676,723.1953,10.0170,0.1507,30.0655,25.8880,20.0485,3.9006,310.6560,9.4762,0.1088,37.0035,33.0099,27.5273,3.5923,396.1192,10.6636,0.2071,23.8992,19.4633,13.2356,4.0308,233.5591,1405.9130,1316.8187,-23.0859,23.4498,13.3899,10.5853,0.0859,46.4498
estacion_virtual_12,Santa Cruz,Patagonia,VIRTUAL,-48.0000,-67.0000,0.0000,,1.9000,0.1289,5.2000,4.3500,3.3000,0.5608,52.2000,43.6129,0.2630,83.3411,60.2654,39.7282,15.8478,723.1846,0.5485,0.0387,4.7752,4.4765,4.2267,0.1731,53.7178,17.7536,0.2579,31.5557,19.8040,13.8021,5.1071,237.6481,16.4068,0.6114,17.8243,9.7838,1.4175,5.9816,117.4051,18.7457,0.4308,24.7172,15.8239,5.9715,6.8174,189.8863,12.4726,1.0334,10.7459,4.4126,-1.7267,4.5602,52.9510,1405.9130,1316.8187,-23.0859,23.4498,15.7673,8.1600,24.9141,71.4498
estacion_virtual_13,Santa Cruz,Patagonia,VIRTUAL,-47.0000,-70.0000,718.0000,,4.7000,0.3994,6.8000,4.3292,2.1000,1.7290,51.9500,39.6932,0.2204,88.3422,67.5744,48.6490,14.8956,810.8932,0.6232,0.0534,4.5962,4.3638,3.9730,0.2331,52.3660,20.1336,0.3445,28.4377,18.2279,8.3041,6.2793,218.7349,15.3565,0.9098,13.6080,6.1709,-1.7485,5.6140,74.0504,18.4110,0.5521,20.9140,12.2547,2.5030,6.7654,147.0569,10.9999,5.5597,6.0960,0.7040,-4.9039,3.9142,8.4484,1405.9130,1316.8187,-23.0859,23.4498,15.6266,8.3039,23.9141,70.4498
estacion_virtual_14,Santa Cruz,Patagonia,VIRTUAL,-47.0000,-69.0000,564.0000,,3.5500,0.3112,5.9500,4.1917,2.4000,1.3045,50.3000,43.4704,0.2622,83.9755,61.3020,40.5051,16.0760,735.6234,0.6232,0.0534,4.5962,4.3638,3.9730,0.2331,52.3660,18.3538,0.3043,26.6030,18.0681,8.2492,5.4974,216.8169,16.6453,0.7067,16.7211,8.5697,0.0758,6.0566,102.8366,19.3006,0.4708,24.0930,14.9124,4.7924,7.0213,178.9491,12.0982,1.5005,9.0360,2.9152,-3.0622,4.3741,34.9819,1405.9130,1316.8187,-23.0859,23.4498,15.6266,8.3039,23.9141,70.4498
estacion_virtual_15,Santa Cruz,Patagonia,VIRTUAL,-47.0000,-68.0000,100.0000,,3.2500,0.2739,5.9000,4.0833,2.6500,1.1183,49.0000,43.3147,0.2682,82.1306,59.2442,38.8159,15.8899,710.9308,0.7509,0.0587,4.8293,4.5271,4.0784,0.2659,54.3252,19.6935,0.2943,29.0224,19.2953,9.3289,5.6791,231.5440,16.9871,0.6381,17.9554,9.6540,0.9683,6.1600,115.8480,19.3337,0.4338,25.3345,16.1424,6.0008,7.0032,193.7090,12.6685,1.1872,10.3151,3.8672,-2.3534,4.5910,46.4064,1405.9130,1316.8187,-23.0859,23.4498,15.6266,8.3039,23.9141,70.4498
estacion_virtual_16,Santa Cruz,Patagonia,VIRTUAL,-47.0000,-67.0000,125.0000,,2.5500,0.2131,5.6500,4.2583,3.1000,0.9073,51.1000,36.7943,0.2100,83.1921,63.8083,46.3978,13.4016,765.6991,0.7509,0.0587,4.8293,4.5271,4.0784,0.2659,54.3252,25.2813,0.3606,37.1407,22.8884,11.8594,8.2530,274.6605,14.8243,0.5171,17.6833,10.3578,2.8590,5.3558,124.2933,16.5870,0.3887,23.4708,15.4165,6.8838,5.9919,184.9985,11.9261,0.7539,11.7896,5.7558,-0.1365,4.3390,69.0694,1405.9130,1316.8187,-23.0859,23.4498,15.6266,8.3039,23.9141,70.4498
estacion_virtual_17,Santa Cruz,Patagonia,VIRTUAL,-46.0000,-70.0000,766.0000,,5.8500,0.3661,9.2000,5.7875,3.3500,2.1190,69.4500,37.4511,0.2093,87.1475,67.3342,49.6964,14.0951,808.0104,0.9734,0.0790,4.6830,4.3324,3.7096,0.3422,51.9892,28.6419,0.4030,40.5455,23.6401,11.9036,9.5265,283.6809,15.0572,0.7061,15.0693,7.7885,0.0121,5.4992,93.4614,17.9691,0.4711,22.4435,13.9582,4.4744,6.5762,167.4984,10.7850,1.6511,7.7285,2.3533,-3.0565,3.8855,28.2401,1405.9130,1316.8187,-23.0859,23.4498,15.4923,8.4412,22.9141,69.4498
estacion_virtual_18,Santa Cruz,Patagonia,VIRTUAL,-46.0000,-69.0000,369.0000,,4.2500,0.3676,5.9000,3.9208,1.6500,1.4413,47.0500,41.2399,0.2431,85.1775,63.2058,43.9376,15.3625,758.4701,0.9734,0.0790,4.6830,4.3324,3.7096,0.3422,51.9892,23.1010,0.3770,31.9347,20.2298,8.8337,7.6263,242.7572,16.2040,0.6658,16.7075,8.8432,0.5035,5.8879,106.1185,18.8611,0.4547,24.0535,15.1056,5.1924,6.8688,181.2668,11.8554,1.3292,9.1523,3.2299,-2.7031,4.2933,38.7591,1405.9130,1316.8187,-23.0859,23.4498,15.4923,8.4412,22.9141,69.4498
estacion_virtual_19,Chubut,Patagonia,VIRTUAL,-45.0000,-71.0000,893.0000,,7.5000,0.2096,15.3500,11.8000,7.8500,2.4731,141.6000,20.1020,0.0937,92.9967,82.1243,72.8947,7.6929,985.4911,1.3574,0.1171,4.7238,4.1951,3.3664,0.4912,50.3406,64.9743,0.3135,109.8555,65.2473,44.8812,20.4571,782.9678,11.8639,0.9604,10.2299,4.3684,-1.6340,4.1953,52.4212,15.0100,0.5945,16.3927,9.0291,1.3827,5.3677,108.3495,8.9974,10.5225,4.6136,0.2891,-4.3838,3.0424,3.4696,1405.9130,1316.8187,-23.0859,23.4498,15.3639,8.5724,21.9141,68.4498
estacion_virtual_2,Santa Cruz,Patagonia,VIRTUAL,-51.0000,-71.0000,230.0000,,3.3500,0.1310,9.3000,7.9000,5.9500,1.0351,94.8000,26.1253,0.1353,89.0120,74.5605,62.8867,10.0872,894.7266,0.6629,0.0391,5.4970,5.0896,4.8341,0.1988,61.0753,13.2799,0.1340,37.1527,31.3752,23.8728,4.2056,376.5023,11.4657,0.8330,10.4196,5.0955,-1.0461,4.2446,61.1456,13.9784,0.5203,16.0984,9.8942,2.1200,5.1479,118.7305,8.2521,3.7566,4.6626,0.8014,-3.5895,3.0106,9.6171,1405.9130,1316.8187,-23.0859,23.4498,16.2347,7.6815,27.9141,74.4498
estacion_virtual_20,Chubut,Patagonia,VIRTUAL,-45.0000,-70.0000,607.0000,,7.5000,0.2879,13.0500,8.6708,5.5500,2.4966,104.0500,33.5184,0.1752,89.1163,71.5997,55.5979,12.5414,859.1966,1.1244,0.0947,4.7222,4.3100,3.5978,0.4082,51.7198,48.0232,0.3747,72.7315,40.5397,24.7083,15.1908,486.4762,14.5845,0.7014,14.6653,7.5181,0.0808,5.2732,90.2168,17.9047,0.4700,22.3461,13.7368,4.4414,6.4561,164.8412,10.2525,1.7928,7.2032,2.0176,-3.0493,3.6172,24.2116,1405.9130,1316.8187,-23.0859,23.4498,15.3639,8.5724,21.9141,68.4498
estacion_virtual_21,Chubut,Patagonia,VIRTUAL,-45.0000,-69.0000,383.0000,,4.2000,0.3758,5.9500,3.8750,1.7500,1.4561,46.5000,38.2802,0.2249,83.9850,63.5042,45.7048,14.2811,762.0498,1.0992,0.0941,4.6468,4.2363,3.5476,0.3987,50.8352,25.2923,0.3867,35.3537,21.9767,10.0614,8.4989,263.7202,15.9047,0.6270,16.9674,9.2329,1.0627,5.7892,110.7943,18.3982,0.4303,24.3900,15.6362,5.9918,6.7279,187.6349,11.7348,1.2292,9.3109,3.4579,-2.4239,4.2503,41.4943,1405.9130,1316.8187,-23.0859,23.4498,15.3639,8.5724,21.9141,68.4498
estacion_virtual_22,Chubut,Patagonia,VIRTUAL,-45.0000,-66.0000,0.0000,,3.0500,0.2759,5.2000,3.6958,2.1500,1.0197,44.3500,29.1873,0.1699,77.8126,62.7979,48.6253,10.6720,753.5750,1.6292,0.1298,4.9029,4.1476,3.2737,0.5384,49.7709,25.2691,0.3980,34.5906,21.2693,9.3215,8.4656,255.2317,13.4975,0.4034,18.8949,12.1492,5.3974,4.9014,145.7901,14.8439,0.3287,23.6942,16.3756,8.8503,5.3821,196.5071,11.2211,0.4942,14.0302,8.3107,2.8091,4.1075,99.7284,1405.9130,1316.8187,-23.0859,23.4498,15.3639,8.5724,21.9141,68.4498
estacion_virtual_23,Chubut,Patagonia,VIRTUAL,-44.0000,-71.0000,782.0000,,9.4000,0.2429,16.5000,11.1917,7.1000,2.7188,134.3000,18.7261,0.0832,93.7954,83.5305,75.0693,6.9495,1002.3661,1.7162,0.1454,4.9387,4.2417,3.2225,0.6166,50.9002,88.4812,0.3399,140.8143,79.9438,52.3331,27.1729,959.3253,11.8144,0.8594,10.6581,4.8608,-1.1563,4.1772,58.3299,15.1522,0.5540,16.9963,9.6936,1.8441,5.3702,116.3233,8.7909,4.2830,4.9647,0.7009,-3.8262,3.0019,8.4106,1405.9130,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498
estacion_virtual_24,Chubut,Patagonia,VIRTUAL,-44.0000,-70.0000,551.0000,,8.1000,0.3041,13.7000,8.8208,5.6000,2.6826,105.8500,30.6688,0.1495,92.1987,76.3173,61.5299,11.4126,915.8073,1.4604,0.1271,4.7365,4.1901,3.2761,0.5326,50.2811,68.5621,0.4174,96.1815,51.1643,27.6194,21.3583,613.9718,13.8194,0.8585,12.6792,5.8061,-1.1402,4.9845,69.6728,17.9841,0.5679,20.2219,11.4401,2.2378,6.4970,137.2808,9.5292,3.5565,5.6837,0.9334,-3.8455,3.3195,11.2003,1405.9130,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498
estacion_virtual_25,Chubut,Patagonia,VIRTUAL,-44.0000,-69.0000,397.0000,,6.7500,0.3230,10.9500,6.9500,4.2000,2.2449,83.4000,39.5963,0.2312,84.6939,63.6465,45.0976,14.7135,763.7581,1.3758,0.1151,4.6869,4.1592,3.3111,0.4786,49.9107,40.3783,0.4354,55.6518,30.0806,15.2735,13.0985,360.9675,16.4077,0.6238,17.6013,9.5600,1.1936,5.9634,114.7205,19.1200,0.4295,25.3826,16.2224,6.2626,6.9675,194.6691,11.8234,1.1979,9.5572,3.5986,-2.2662,4.3109,43.1831,1405.9130,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498
estacion_virtual_26,Chubut,Patagonia,VIRTUAL,-44.0000,-68.0000,461.0000,,4.3500,0.3478,7.0500,4.5708,2.7000,1.5898,54.8500,41.5523,0.2545,82.4033,60.2796,40.8510,15.3434,723.3550,1.5097,0.1253,4.5888,3.9994,3.0791,0.5011,47.9929,25.2928,0.4076,35.1105,20.9267,9.8177,8.5288,251.1200,17.0847,0.5917,18.8596,10.4671,1.7749,6.1932,125.6055,19.3461,0.4085,26.5208,17.2162,7.1747,7.0333,206.5948,12.7674,1.0602,10.8322,4.3691,-1.9352,4.6322,52.4292,1405.9130,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498
estacion_virtual_27,Chubut,Patagonia,VIRTUAL,-44.0000,-67.0000,503.0000,,2.6500,0.2364,4.7500,3.5250,2.1000,0.8333,42.3000,42.8189,0.2744,79.7430,57.3783,36.9241,15.7421,688.5399,1.4995,0.1259,4.4785,3.8787,2.9790,0.4881,46.5441,21.5104,0.3846,30.3892,18.4721,8.8788,7.1036,221.6649,17.6630,0.5578,20.2256,11.4710,2.5626,6.3983,137.6516,19.4721,0.3903,27.6474,18.1965,8.1753,7.1028,218.3586,13.7758,0.9112,12.4762,5.4573,-1.2996,4.9729,65.4880,1405.9130,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498
estacion_virtual_28,Chubut,Patagonia,VIRTUAL,-44.0000,-66.0000,21.0000,,2.3000,0.2251,4.4500,3.3792,2.1500,0.7608,40.5500,42.1392,0.2692,79.2995,57.5137,37.1603,15.4843,690.1644,1.6988,0.1467,4.7034,3.8975,3.0046,0.5719,46.7705,24.4239,0.4234,33.8440,19.1962,9.4201,8.1268,230.3542,17.4433,0.5496,20.1978,11.4981,2.7545,6.3191,137.9768,19.3522,0.3915,27.5495,18.0956,8.1973,7.0845,217.1475,13.4999,0.8665,12.5221,5.6228,-0.9778,4.8721,67.4738,1405.9130,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498
estacion_virtual_29,Chubut,Patagonia,VIRTUAL,-43.0000,-70.0000,1094.0000,,8.5000,0.3475,13.1000,7.8375,4.6000,2.7239,94.0500,36.0247,0.1822,90.5981,72.4961,54.5734,13.2088,869.9531,1.9852,0.1766,4.8572,4.0218,2.8720,0.7102,48.2620,74.1862,0.4937,97.3829,49.4353,23.1967,24.4064,593.2241,15.1679,0.7611,14.7989,7.2118,-0.3690,5.4890,86.5420,19.2253,0.5155,22.9033,13.4528,3.6780,6.9349,161.4335,10.5351,2.1206,7.1713,1.7552,-3.3638,3.7222,21.0629,1405.9130,1316.8187,-23.0859,23.4498,15.1228,8.8187,19.9141,66.4498
estacion_virtual_3,Santa Cruz,Patagonia,VIRTUAL,-50.0000,-71.0000,236.0000,,3.2500,0.1453,8.4000,6.7083,5.1500,0.9744,80.5000,30.9873,0.1595,90.1577,73.1029,59.1704,11.6623,877.2347,0.7024,0.0382,5.2307,4.8568,4.5283,0.1855,58.2812,13.5452,0.1379,34.5315,26.8369,20.9863,3.7021,322.0426,12.9886,1.0851,10.3426,4.3623,-2.6460,4.7334,52.3475,15.4978,0.6048,16.3039,9.3908,0.8061,5.6797,112.6901,9.9334,-18.1544,4.2823,-0.1929,-5.6511,3.5014,-2.3144,1405.9130,1316.8187,-23.0859,23.4498,16.0706,7.8496,26.9141,73.4498
estacion_virtual_30,Chubut,Patagonia,VIRTUAL,-43.0000,-69.0000,443.0000,,7.9500,0.3748,11.9500,6.6667,4.0000,2.4984,80.0000,36.5784,0.2056,84.4278,65.3592,47.8494,13.4354,784.3105,1.8947,0.1584,4.9533,4.1498,3.0586,0.6575,49.7973,43.8662,0.4560,58.3189,30.9959,14.4527,14.1347,371.9502,15.4401,0.6846,15.9202,8.1771,0.4801,5.5984,98.1250,18.7943,0.4713,23.6549,14.4835,4.8606,6.8263,173.8026,10.7021,1.5045,8.0578,2.5630,-2.6443,3.8560,30.7555,1405.9130,1316.8187,-23.0859,23.4498,15.1228,8.8187,19.9141,66.4498
estacion_virtual_31,Chubut,Patagonia,VIRTUAL,-43.0000,-68.0000,369.0000,,6.7000,0.3685,10.1000,5.6458,3.4000,2.0804,67.7500,35.2372,0.2167,77.9587,59.5400,42.7215,12.9042,714.4800,1.5814,0.1388,4.6933,4.0801,3.1119,0.5662,48.9607,30.0950,0.4180,41.1312,23.4604,11.0362,9.8057,281.5250,15.6180,0.6026,17.2578,9.3998,1.6398,5.6642,112.7975,18.6701,0.4296,24.9614,15.8048,6.2913,6.7895,189.6572,10.9622,1.0828,9.2821,3.6810,-1.6801,3.9856,44.1721,1405.9130,1316.8187,-23.0859,23.4498,15.1228,8.8187,19.9141,66.4498
